phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6359170,http://magazine-promoluiza.com/2144akjhc014akyr8870/index.php?&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6359170,2020-01-16T06:44:13+00:00,yes,2020-01-16T06:44:45+00:00,yes,Other
6359113,http://loja-promocionaljaneiro.com/5257iuhamkvnma024/m_produto.php?-premium-wine-philco-com-liquidificador-batedeira/p/218898800/ep/elkp/?origin=autocompletep=liquidificador%20e%20&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6359113,2020-01-16T05:33:41+00:00,yes,2020-01-16T05:34:32+00:00,yes,Other
6359105,http://cheesecakedreamations.com/.ibs1/NedbankMoney.htm,http://www.phishtank.com/phish_detail.php?phish_id=6359105,2020-01-16T05:07:24+00:00,yes,2020-01-16T06:50:16+00:00,yes,Other
6359055,http://au-ok.com,http://www.phishtank.com/phish_detail.php?phish_id=6359055,2020-01-16T03:33:14+00:00,yes,2020-01-16T05:25:41+00:00,yes,Other
6359054,http://nttdocomo-ok.com,http://www.phishtank.com/phish_detail.php?phish_id=6359054,2020-01-16T03:33:05+00:00,yes,2020-01-16T06:56:27+00:00,yes,Other
6359053,http://liquidacaoemjaneiro.com/6akloia01744a577004/index.php?&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6359053,2020-01-16T03:33:02+00:00,yes,2020-01-16T03:34:49+00:00,yes,Other
6359052,https://fastnoww.com/00448541a094841f0644/index.php?o-de-panelas-tramontina-antiaderente-de-aluminio-vermelho-10-pecas-turim-20298-722/p/144129900/ud/panl/?origin=aut&amp;id=1,http://www.phishtank.com/phish_detail.php?phish_id=6359052,2020-01-16T03:32:55+00:00,yes,2020-01-16T03:33:27+00:00,yes,Other
6359039,http://msizartech.co.za/test/wp-admin/includes/bd/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6359039,2020-01-16T03:01:11+00:00,yes,2020-01-16T06:58:32+00:00,yes,Other
6359038,http://www.kev.si/wp-content/uploads/ayri.php,http://www.phishtank.com/phish_detail.php?phish_id=6359038,2020-01-16T03:01:10+00:00,yes,2020-01-16T03:59:30+00:00,yes,"ABSA Bank"
6359037,https://kisimanischool.com/Chase/Chasewithemail/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6359037,2020-01-16T03:01:07+00:00,yes,2020-01-16T06:59:14+00:00,yes,Other
