,url,year
0,www.baidu.com,0
1,passport.baidu.com,0
2,news.baidu.com,0
3,www.hao123.com,0
4,map.baidu.com,0
5,v.baidu.com,0
6,tieba.baidu.com,0
7,xueshu.baidu.com,0
8,zhidao.baidu.com,0
9,music.taihe.com,20
10,image.baidu.com,0
11,wenku.baidu.com,0
12,home.baidu.com,0
13,ir.baidu.com,0
14,e.baidu.com,0
15,jianyi.baidu.com,0
16,www.beian.gov.cn,6
17,www.yahoo.com,0
18,login.yahoo.com,0
19,mail.yahoo.com,0
20,news.yahoo.com,0
21,finance.yahoo.com,0
22,sports.yahoo.com,0
23,shopping.yahoo.com,0
24,subscriptions.yahoo.com,0
25,help.yahoo.com,0
26,www.verizonmedia.com,0
27,www.ad.com,0
28,info.yahoo.com,0
29,search.yahoo.com,0
30,overview.mail.yahoo.com,0
31,baseball.fantasysports.yahoo.com,0
32,yahoo.uservoice.com,14
33,www.amazon.com,0
34,www.amazon.jobs,0
35,blog.aboutamazon.com,0
36,www.aboutamazon.com,0
37,services.amazon.com,0
38,developer.amazon.com,0
39,affiliate-program.amazon.com,0
40,advertising.amazon.com,0
41,music.amazon.com,0
42,www.6pm.com,0
43,www.abebooks.com,25
44,www.acx.com,0
45,www.alexa.com,0
46,ignite.amazon.com,0
47,rapids.amazon.com,0
48,aws.amazon.com,0
49,www.audible.com,24
50,www.bookdepository.com,0
51,www.boxofficemojo.com,0
52,www.comixology.com,0
53,www.createspace.com,0
54,www.dpreview.com,0
55,www.eastdane.com,0
56,www.fabric.com,0
57,www.goodreads.com,0
58,www.imdb.com,0
59,pro.imdb.com,0
60,kdp.amazon.com,0
61,videodirect.amazon.com,0
62,www.shopbop.com,0
63,www.woot.com,0
64,www.zappos.com,0
65,ring.com,0
66,eero.com,22
67,shop.ring.com,0
68,www.pillpack.com,0
69,focus.tianya.cn,17
70,passport.tianya.cn,17
71,www.tianya.cn,0
72,bbs.tianya.cn,0
73,help.tianya.cn,17
74,service.tianya.cn,17
75,join.tianya.cn,0
76,static.tianyaui.com,0
77,www.cyberpolice.cn,17
78,www.wenming.cn,16
79,www.12377.cn,0
80,report.12377.cn:13225,0
81,edition.cnn.com,27
82,us.cnn.com,27
83,arabic.cnn.com,27
84,cnnespanol.cnn.com,27
85,money.cnn.com,27
86,cnn.it,20
87,www.turnerjobs.com,0
88,facebook.com,0
89,twitter.com,0
90,instagram.com,0
91,www.edition.cnn.com,27
92,www.cnn.com,27
93,commercial.cnn.com,27
94,store.cnn.com,27
95,cnnnewsource.com,23
96,www.turner.com,26
97,www.warnermediaprivacy.com,0
98,onetrust.com,16
99,www.twitch.tv,0
100,www.amazon.de,0
101,amazon-presse.de,0
102,www.aboutamazon.de,0
103,blog.aboutamazon.de,0
104,www.amazon-logistikblog.de,0
105,services.amazon.de,0
106,accelerator.amazon.de,0
107,partnernet.amazon.de,0
108,advertising.amazon.de,0
109,pay.amazon.com,0
110,music.amazon.de,0
111,www.abebooks.de,0
112,www.audible.de,0
113,www.zvab.com,0
114,www.fandom.com,24
115,community.fandom.com,24
116,fandom.wikia.com,17
117,rickandmorty.fandom.com,24
118,watchmen.fandom.com,24
119,arrow.fandom.com,24
120,13reasonswhy.fandom.com,24
121,borderlands.fandom.com,24
122,minecraft.gamepedia.com,21
123,deathstranding.fandom.com,24
124,zelda.gamepedia.com,21
125,theouterworlds.fandom.com,24
126,terraria.gamepedia.com,21
127,callofduty.fandom.com,24
128,pokemon.fandom.com,24
129,theconjuring.fandom.com,24
130,disney.fandom.com,0
131,pixar.fandom.com,24
132,meninblack.fandom.com,24
133,fastandfurious.fandom.com,24
134,dora.fandom.com,24
135,stephenking.fandom.com,24
136,ninjago.wikia.com,17
137,the-handmaids-tale.fandom.com,24
138,legion.fandom.com,24
139,darkcrystal.fandom.com,24
140,krypton-series.fandom.com,24
141,hdm.fandom.com,24
142,kipo.fandom.com,24
143,strangerthings.fandom.com,24
144,fire-force.fandom.com,0
145,attackontitan.fandom.com,24
146,dr-stone.fandom.com,24
147,bokunoheroacademia.fandom.com,24
148,throneofglass.fandom.com,24
149,tardis.fandom.com,24
150,shadowhunters.fandom.com,24
151,outlander.fandom.com,24
152,taylorswift.fandom.com,24
153,justinbieber.fandom.com,24
154,fifthharmony.fandom.com,24
155,melanie-martinez.fandom.com,24
156,cosplay.fandom.com,24
157,cocktails.fandom.com,24
158,lego.fandom.com,24
159,recipes.fandom.com,24
160,www.gamepedia.com,21
161,www.dndbeyond.com,3
162,www.muthead.com,7
163,www.futhead.com,9
164,www.facebook.com,0
165,www.youtube.com,0
166,www.instagram.com,0
167,www.linkedin.com,0
168,fandom.zendesk.com,0
169,itunes.apple.com,0
170,play.google.com,0
171,apps.apple.com,0
172,www.alibaba.com,21
173,passport.alibaba.com,21
174,usmy.alibaba.com,21
175,message.alibaba.com,21
176,accounts.alibaba.com,21
177,biz.alibaba.com,21
178,bao.alibaba.com,21
179,carp.alibaba.com,21
180,wholesaler.alibaba.com,21
181,app.alibaba.com,21
182,usa.alibaba.com,0
183,activity.alibaba.com,21
184,sale.alibaba.com,21
185,rfq.alibaba.com,21
186,tradeassurance.alibaba.com,21
187,paylater.alibaba.com,21
188,inspection.alibaba.com,21
189,ship.alibaba.com,21
190,seller.alibaba.com,21
